?cls	?replCls	?consCls
<http://www.ebi.ac.uk/efo/EFO_0008229>	"http://purl.obolibrary.org/obo/OBA_2050157"	
<http://www.ebi.ac.uk/efo/EFO_0008238>	"http://purl.obolibrary.org/obo/OBA_2050280"	
<http://www.ebi.ac.uk/efo/EFO_0008250>	"http://purl.obolibrary.org/obo/OBA_2050315"	
<http://www.ebi.ac.uk/efo/EFO_0008253>	"http://purl.obolibrary.org/obo/OBA_2050248"	
<http://www.ebi.ac.uk/efo/EFO_0008259>	"http://purl.obolibrary.org/obo/OBA_2050224"	
<http://www.ebi.ac.uk/efo/EFO_0008264>	"http://purl.obolibrary.org/obo/OBA_2050167"	
<http://www.ebi.ac.uk/efo/EFO_0008265>	"http://purl.obolibrary.org/obo/OBA_2050120"	
<http://www.ebi.ac.uk/efo/EFO_0008268>	"http://purl.obolibrary.org/obo/OBA_2050247"	
<http://www.ebi.ac.uk/efo/EFO_0008282>	"http://purl.obolibrary.org/obo/OBA_2050083"	
<http://www.ebi.ac.uk/efo/EFO_0008283>	"http://purl.obolibrary.org/obo/OBA_2050090"	
<http://www.ebi.ac.uk/efo/EFO_0008284>	"http://purl.obolibrary.org/obo/OBA_2050227"	
<http://www.ebi.ac.uk/efo/EFO_0008285>	"http://purl.obolibrary.org/obo/OBA_2050256"	
<http://www.ebi.ac.uk/efo/EFO_0008286>	"http://purl.obolibrary.org/obo/OBA_2050281"	
<http://www.ebi.ac.uk/efo/EFO_0008288>	"http://purl.obolibrary.org/obo/OBA_2050299"	
<http://www.ebi.ac.uk/efo/EFO_0008291>	"http://purl.obolibrary.org/obo/OBA_2050260"	
<http://www.ebi.ac.uk/efo/EFO_0008297>	"http://purl.obolibrary.org/obo/OBA_2050174"	
<http://www.ebi.ac.uk/efo/EFO_0008302>	"http://purl.obolibrary.org/obo/OBA_2050138"	
<http://www.ebi.ac.uk/efo/EFO_0008308>	"http://purl.obolibrary.org/obo/OBA_2050291"	
<http://www.ebi.ac.uk/efo/EFO_0008309>	"http://purl.obolibrary.org/obo/OBA_2050312"	
<http://www.ebi.ac.uk/efo/EFO_0008310>	"http://purl.obolibrary.org/obo/OBA_2050289"	
<http://www.ebi.ac.uk/efo/EFO_0008311>	"http://purl.obolibrary.org/obo/OBA_2050269"	
<http://www.ebi.ac.uk/efo/EFO_0008314>	"http://purl.obolibrary.org/obo/OBA_2050125"	
