ID	OBSOLETE	REPLACED BY	OBSOLETED IN VERSION	REASON FOR OBSOLETION
http://www.orpha.net/ORDO/Orphanet_98590	true	http://purl.obolibrary.org/obo/MONDO_0020180	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0020180
http://www.orpha.net/ORDO/Orphanet_67044	true	http://purl.obolibrary.org/obo/MONDO_0019031	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0019031
http://www.orpha.net/ORDO/Orphanet_238329	true	http://purl.obolibrary.org/obo/MONDO_0010437	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0010437
http://www.orpha.net/ORDO/Orphanet_261519	true	http://purl.obolibrary.org/obo/MONDO_0016851	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0016851
http://www.orpha.net/ORDO/Orphanet_2833	true	http://purl.obolibrary.org/obo/MONDO_0008492	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0008492
http://www.orpha.net/ORDO/Orphanet_227786	true	http://purl.obolibrary.org/obo/MONDO_0016420	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0016420
http://www.orpha.net/ORDO/Orphanet_320342	true	http://purl.obolibrary.org/obo/MONDO_0017914	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0017914
http://www.orpha.net/ORDO/Orphanet_183666	true	http://purl.obolibrary.org/obo/MONDO_0015976	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0015976
http://www.orpha.net/ORDO/Orphanet_294981	true	http://purl.obolibrary.org/obo/MONDO_0017444	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0017444
http://www.orpha.net/ORDO/Orphanet_3261	true	http://purl.obolibrary.org/obo/MONDO_0017979	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0017979
http://www.orpha.net/ORDO/Orphanet_221120	true	http://purl.obolibrary.org/obo/MONDO_0010865	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0010865
http://www.orpha.net/ORDO/Orphanet_716	true	http://purl.obolibrary.org/obo/MONDO_0009861	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0009861
http://www.orpha.net/ORDO/Orphanet_2839	true	http://purl.obolibrary.org/obo/MONDO_0008217	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0008217
http://www.orpha.net/ORDO/Orphanet_47159	true	http://purl.obolibrary.org/obo/MONDO_0008369	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0008369
http://www.orpha.net/ORDO/Orphanet_295116	true	http://purl.obolibrary.org/obo/MONDO_0017509	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0017509
http://www.orpha.net/ORDO/Orphanet_401800	true	http://purl.obolibrary.org/obo/MONDO_0018417	3.44.0	Replaced with Mondo term. Use: http://purl.obolibrary.org/obo/MONDO_0018417
