label	ID	parent_term
ARHGAP1/SPARC protein level ratio in blood	OBA_2053933	protein measurement (EFO_0004747)
ARHGAP25/RNF41 protein level ratio in blood	OBA_2053934	protein measurement (EFO_0004747)
ARHGEF12/AXIN1 protein level ratio in blood	OBA_2053935	protein measurement (EFO_0004747)
ARHGEF12/BANK1 protein level ratio in blood	OBA_2054086	protein measurement (EFO_0004747)
ARHGEF12/CLIP2 protein level ratio in blood	OBA_2054087	protein measurement (EFO_0004747)
ARHGEF12/DECR1 protein level ratio in blood	OBA_2054088	protein measurement (EFO_0004747)
ARHGEF12/IRAK4 protein level ratio in blood	OBA_2054089	protein measurement (EFO_0004747)
ARSA/CD164 protein level ratio in blood	OBA_2054090	protein measurement (EFO_0004747)
ARSA/CREG1 protein level ratio in blood	OBA_2054091	protein measurement (EFO_0004747)
ARSA/DPP7 protein level ratio in blood	OBA_2054092	protein measurement (EFO_0004747)
ARSA/GLB1 protein level ratio in blood	OBA_2054093	protein measurement (EFO_0004747)
ARSA/GUSB protein level ratio in blood	OBA_2054094	protein measurement (EFO_0004747)
ARSA/PLA2G15 protein level ratio in blood	OBA_2054095	protein measurement (EFO_0004747)
ARSB/CD164 protein level ratio in blood	OBA_2054096	protein measurement (EFO_0004747)
ARSB/DPP7 protein level ratio in blood	OBA_2054097	protein measurement (EFO_0004747)
ARSB/GLB1 protein level ratio in blood	OBA_2054098	protein measurement (EFO_0004747)
ARSB/SIAE protein level ratio in blood	OBA_2054099	protein measurement (EFO_0004747)
ART3/GPC1 protein level ratio in blood	OBA_2054100	protein measurement (EFO_0004747)
ART3/RGMA protein level ratio in blood	OBA_2054101	protein measurement (EFO_0004747)
ART3/RGMB protein level ratio in blood	OBA_2054102	protein measurement (EFO_0004747)
ASGR1/DCBLD2 protein level ratio in blood	OBA_2054103	protein measurement (EFO_0004747)
ASGR1/GGT5 protein level ratio in blood	OBA_2054104	protein measurement (EFO_0004747)
AT-rich interactive domain-containing protein 3A measurement	EFO_0020165	protein measurement (EFO_0004747)
ATG4A/CCT5 protein level ratio in blood	OBA_2054105	protein measurement (EFO_0004747)
ATG4A/CHAC2 protein level ratio in blood	OBA_2054106	protein measurement (EFO_0004747)
ATG4A/NSFL1C protein level ratio in blood	OBA_2054107	protein measurement (EFO_0004747)
