?child	?label	?parents	?parentlabels
<http://purl.obolibrary.org/obo/OBA_2042931>	"level of plastin-1 in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2041929>	"level of heparan sulfate 2-O-sulfotransferase 1 in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2041653>	"level of G antigen 2B/2C in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2043082>	"level of proteasome assembly chaperone 4 in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2041773>	"level of GPN-loop GTPase 1 in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2050778>	"level of nuclear transcription factor Y subunit alpha in blood"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2044216>	"level of zinc finger protein 843 in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2044627>	"level of BTB/POZ domain-containing protein KCTD4 in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2040250>	"level of Toll-like receptor 3 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2051102"	"level of Toll-like receptor 3 in blood"
<http://purl.obolibrary.org/obo/OBA_2043439>	"level of sentrin-specific protease 1 in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2041980>	"level of interferon alpha-5 in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
<http://purl.obolibrary.org/obo/OBA_2045042>	"level of Margaroyl-EA in blood serum"	"http://purl.obolibrary.org/obo/PATO_0000070"	"amount"
