?child	?label
<http://purl.obolibrary.org/obo/HP_0005879>	"Congenital finger flexion contractures"
<http://purl.obolibrary.org/obo/HP_0004060>	"Trident hand"
<http://purl.obolibrary.org/obo/HP_0006159>	"Mesoaxial hand polydactyly"
<http://purl.obolibrary.org/obo/HP_0200055>	"Small hand"
<http://purl.obolibrary.org/obo/HP_0009810>	"Abnormality of upper limb joint"
<http://purl.obolibrary.org/obo/HP_0009473>	"Joint contracture of the hand"
<http://purl.obolibrary.org/obo/HP_0003049>	"Ulnar deviation of the wrist"
<http://purl.obolibrary.org/obo/HP_0002987>	"Elbow flexion contracture"
<http://purl.obolibrary.org/obo/HP_0030241>	"Hypoplasia of deltoid muscle"
<http://purl.obolibrary.org/obo/HP_0100257>	"Ectrodactyly"
<http://purl.obolibrary.org/obo/HP_0009827>	"Amelia"
<http://purl.obolibrary.org/obo/HP_0410049>	"Abnormal radial ray morphology"
<http://purl.obolibrary.org/obo/HP_0003690>	"Limb muscle weakness"
<http://purl.obolibrary.org/obo/HP_0009027>	"Foot dorsiflexor weakness"
<http://purl.obolibrary.org/obo/HP_0008994>	"Proximal muscle weakness in lower limbs"
<http://purl.obolibrary.org/obo/HP_0007340>	"Lower limb muscle weakness"
<http://purl.obolibrary.org/obo/HP_0009053>	"Distal lower limb muscle weakness"
<http://purl.obolibrary.org/obo/HP_0009826>	"Limb undergrowth"
<http://purl.obolibrary.org/obo/HP_0009816>	"Lower limb undergrowth"
<http://purl.obolibrary.org/obo/HP_0002983>	"Micromelia"
<http://purl.obolibrary.org/obo/HP_0003027>	"Mesomelia"
<http://purl.obolibrary.org/obo/HP_0003086>	"Acromesomelia"
<http://purl.obolibrary.org/obo/HP_0008905>	"Rhizomelia"
<http://purl.obolibrary.org/obo/HP_0009028>	"Generalized weakness of limb muscles"
<http://purl.obolibrary.org/obo/HP_0005092>	"Streaky metaphyseal sclerosis"
<http://purl.obolibrary.org/obo/HP_0002814>	"Abnormality of the lower limb"
<http://purl.obolibrary.org/obo/HP_0100694>	"Tibial torsion"
<http://purl.obolibrary.org/obo/HP_0005085>	"Limited knee flexion/extension"
<http://purl.obolibrary.org/obo/HP_0012098>	"Edema of the dorsum of feet"
<http://purl.obolibrary.org/obo/HP_0002999>	"Patellar dislocation"
<http://purl.obolibrary.org/obo/HP_0005613>	"Aplasia/hypoplasia of the femur"
<http://purl.obolibrary.org/obo/HP_0100559>	"Lower limb asymmetry"
<http://purl.obolibrary.org/obo/HP_0011808>	"Decreased patellar reflex"
<http://purl.obolibrary.org/obo/HP_0001760>	"Abnormal foot morphology"
<http://purl.obolibrary.org/obo/HP_0008110>	"Equinovarus deformity"
<http://purl.obolibrary.org/obo/HP_0008081>	"Pes valgus"
<http://purl.obolibrary.org/obo/HP_0001769>	"Broad foot"
<http://purl.obolibrary.org/obo/HP_0001771>	"Achilles tendon contracture"
<http://purl.obolibrary.org/obo/HP_0001780>	"Abnormal toe morphology"
<http://purl.obolibrary.org/obo/HP_0001770>	"Toe syndactyly"
<http://purl.obolibrary.org/obo/HP_0009779>	"3-4 toe syndactyly"
<http://purl.obolibrary.org/obo/HP_0005709>	"2-3 toe cutaneous syndactyly"
<http://purl.obolibrary.org/obo/HP_0004691>	"2-3 toe syndactyly"
<http://purl.obolibrary.org/obo/HP_0001863>	"Toe clinodactyly"
<http://purl.obolibrary.org/obo/HP_0011918>	"Clinodactyly of the 4th toe"
